iter	Passed	Remaining
0	6	6691
1	19	9761
2	23	7935
3	37	9452
4	42	8425
5	47	7798
6	60	8516
7	72	9043
8	78	8677
9	83	8271
10	97	8766
11	110	9096
12	123	9408
13	128	9072
14	141	9312
15	154	9510
16	159	9251
17	165	9044
18	178	9228
19	191	9397
20	204	9541
21	210	9365
22	224	9538
23	230	9377
24	243	9513
25	257	9632
26	270	9730
27	282	9816
28	296	9932
29	309	10005
30	322	10080
31	335	10151
32	348	10209
33	362	10290
34	375	10343
35	387	10384
36	400	10427
37	413	10465
38	419	10329
39	431	10364
40	444	10392
41	456	10422
42	470	10481
43	484	10520
44	497	10548
45	509	10570
46	522	10593
47	535	10618
48	539	10479
49	552	10502
50	566	10540
51	579	10561
52	593	10600
53	606	10619
54	618	10633
55	631	10649
56	645	10679
57	658	10702
58	671	10710
59	684	10716
60	696	10722
61	709	10729
62	721	10736
63	734	10742
64	747	10745
65	759	10749
66	773	10774
67	777	10659
68	790	10666
69	796	10579
70	808	10582
71	821	10585
72	835	10615
73	848	10616
74	861	10624
75	874	10633
76	887	10640
77	901	10660
78	915	10669
79	921	10602
80	935	10608
81	947	10611
82	963	10644
83	975	10638
84	988	10646
85	997	10596
86	1009	10593
87	1021	10590
88	1035	10599
89	1049	10608
90	1061	10607
91	1074	10607
92	1087	10605
93	1101	10614
94	1113	10612
95	1122	10570
96	1135	10570
97	1141	10503
98	1153	10500
99	1167	10508
100	1180	10507
101	1193	10503
102	1205	10499
103	1218	10494
104	1231	10500
105	1244	10497
106	1257	10492
107	1269	10488
108	1282	10482
109	1296	10490
110	1300	10417
111	1313	10411
112	1326	10408
113	1338	10403
114	1344	10344
115	1356	10340
116	1370	10344
117	1383	10339
118	1396	10335
119	1408	10328
120	1412	10263
121	1425	10257
122	1433	10220
123	1445	10214
124	1458	10211
125	1472	10216
126	1485	10212
127	1498	10208
128	1511	10203
129	1523	10196
130	1531	10161
131	1544	10154
132	1556	10148
133	1570	10151
134	1584	10153
135	1597	10150
136	1610	10144
137	1622	10136
138	1635	10128
139	1648	10129
140	1661	10123
141	1674	10117
142	1687	10111
143	1699	10103
144	1712	10097
145	1720	10064
146	1726	10018
147	1734	9986
148	1747	9981
149	1760	9975
150	1774	9976
151	1787	9970
152	1799	9964
153	1812	9959
154	1825	9952
155	1839	9951
156	1852	9945
157	1865	9940
158	1878	9933
159	1890	9926
160	1908	9946
161	1927	9968
162	1939	9961
163	1952	9954
164	1965	9946
165	1979	9944
166	1992	9936
167	2004	9927
168	2016	9917
169	2029	9908
170	2043	9904
171	2055	9896
172	2068	9887
173	2080	9877
174	2093	9869
175	2107	9866
176	2120	9857
177	2133	9851
178	2146	9843
179	2158	9835
180	2172	9832
181	2185	9824
182	2198	9816
183	2211	9808
184	2224	9800
185	2238	9796
186	2251	9789
187	2264	9781
188	2277	9772
189	2290	9763
190	2304	9759
191	2316	9750
192	2329	9740
193	2342	9731
194	2355	9722
195	2368	9717
196	2381	9708
197	2394	9700
198	2407	9690
199	2420	9682
200	2433	9673
201	2446	9663
202	2458	9653
203	2471	9642
204	2485	9638
205	2498	9629
206	2510	9618
207	2523	9608
208	2536	9598
209	2549	9589
